z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,H2,CH3,O,CH4,OH,H2O,CO,N2,HCO,CH2O,C2H6,CH2OH,CH3O,O2,CH3OH,HO2,H2O2,CO2,AR,HE
0.013375000000000001,1.4442069991176376,0.0,600.0070360074351,0.5935881927324232,5.243092408772363e-18,4.3575289741393484e-05,2.9190565129967202e-12,3.470134203208566e-17,2.961869849923687e-09,2.4919441578964028e-17,3.1584868365434775e-06,2.504449499303053e-07,0.663835004325762,1.7595839798890824e-18,7.74505880446006e-09,1.2315274977618058e-12,5.8072969471111275e-15,1.5276271649310185e-15,0.20155633655491287,0.13456162296985416,1.6358088367748825e-08,1.858811661302714e-08,6.270660919772445e-09,2.0308178849672976e-16,3.389236765667301e-16
0.013406250000000001,1.4443613026498912,0.0,600.011471663893,0.5935247787123192,2.6275628138256017e-18,5.0872573046958156e-05,4.706280881657761e-12,-1.0402907362837387e-17,4.673023892350674e-09,1.8576901160864226e-17,4.804461628342414e-06,4.1019344757951803e-07,0.663828387841806,-5.73469466732998e-19,1.3847358453922829e-08,2.531906212506535e-12,9.467147639341854e-15,3.2485385037638774e-15,0.2015540490080746,0.13456138879428675,2.6742940987265896e-08,3.0473223665975015e-08,1.1383916206655035e-08,-3.297154478040061e-17,3.6742572248793143e-16
0.013437500000000002,1.4445496022727167,0.0,600.0188890677049,0.5934474116937786,7.752554850798961e-18,5.950480670242465e-05,7.602283072451459e-12,-1.8236868601081018e-17,7.441774693066172e-09,4.481482711535123e-17,7.3708954360832066e-06,6.786392778033843e-07,0.6638199852671962,-8.229203058344736e-19,2.504751588420538e-08,5.036621659089074e-12,1.5631892410165778e-14,8.458658282383808e-15,0.20155115269176352,0.13456115965805582,4.416492744832477e-08,5.0464996507890896e-08,2.0909687133066152e-08,-1.3294204345923773e-16,4.318502686352364e-16
0.013468750000000002,1.4447819404565805,0.0,600.0312905157843,0.5933519782603079,2.950357091929235e-17,6.971661602053637e-05,1.2295812719272816e-11,3.7255681427798723e-17,1.192184013155122e-08,1.4025562460277815e-16,1.1372578281092808e-05,1.1297482008456634e-06,0.6638091490965289,2.3016718942594908e-18,4.56051166389197e-08,9.860885517803521e-12,2.6011259580707922e-14,2.3071225368123967e-14,0.20154741700173917,0.1345609612677477,7.339318985631565e-08,8.409324506525802e-08,3.865589896449746e-08,1.4354559230132993e-16,5.539619296704137e-16
0.013500000000000002,1.4450727282370808,0.0,600.0520207298784,0.5932325797590343,6.46409551325343e-17,8.179763760923869e-05,1.990422013929369e-11,-8.791502227141127e-17,1.9171046102723436e-08,2.6445427762688153e-16,1.7612232710728397e-05,1.887820353118198e-06,0.6637949369531047,-7.88220387327104e-18,8.333927921214042e-08,1.9151240569468756e-11,4.3415715193405603e-14,6.089034403333346e-14,0.2015424931086138,0.13456083489211135,1.2242948187222576e-07,1.4065981812445168e-07,7.171664963047749e-08,-4.493656514925437e-16,5.941371399006718e-16
0.013515625000000002,1.4452480106536376,0.0,600.0676045073288,0.5931606313808503,1.5118576259019594e-16,8.866767123010505e-05,2.5483476626099225e-11,2.8424443561764353e-16,2.447596175723655e-08,6.593926887581924e-16,2.2040659872509057e-05,2.4602977335037357e-06,0.6637860450888466,3.063393230785599e-17,1.1403000568472178e-07,2.7023419069571955e-11,5.6741767665622414e-14,1.0617645968185043e-13,0.20153938386467482,0.13456082209067766,1.5941026544914002e-07,1.834121994226328e-07,9.894593342125513e-08,7.430974959131744e-16,7.820528466924708e-16
0.013531250000000002,1.4454492444979734,0.0,600.0884169300231,0.5930780522044078,2.0257064666127104e-16,9.616685484462796e-05,3.279534176070903e-11,-3.6984278180744684e-16,3.142040992452662e-08,6.33433921881373e-16,2.770741163363439e-05,3.2275508667689764e-06,0.6637755771973803,-3.606250261488483e-17,1.5754412442980791e-07,3.853711298469413e-11,7.427991964439507e-14,1.8109182506092483e-13,0.20153568496681556,0.13456085938937656,2.089227904754499e-07,2.407460162090961e-07,1.3792405267385694e-07,-1.4727588148119865e-15,6.055750902447326e-16
0.013546875000000002,1.445682088492596,0.0,600.1162094849941,0.5929825300401589,4.4265762251367526e-16,0.00010435300071656556,4.238367304132044e-11,2.4423884156704735e-16,4.0511111877562116e-08,1.5344993867384979e-15,3.4958749727984196e-05,4.2558468293968065e-06,0.6637631814232616,3.294790591632671e-17,2.1923980142653844e-07,5.538461566059034e-11,9.837309463780746e-14,3.2032976382124293e-13,0.20153124442015316,0.13456096014188776,2.752142280554631e-07,3.176341258273749e-07,1.9371999984841733e-07,4.740606394003267e-16,9.06116632620553e-16
0.013562500000000002,1.4459538061967712,0.0,600.1533189329489,0.592871099179122,7.651068035560188e-16,0.00011328928362363985,5.495710389488487e-11,-1.8769925609882288e-16,5.24113655972516e-08,2.243377295792656e-15,4.423772649399304e-05,5.63399344686911e-06,0.6637484185742083,-1.737755215786401e-17,3.067135909334953e-07,8.002824710009286e-11,1.304350669637136e-13,5.629194349833635e-13,0.20152586436057504,0.13456113849579607,3.639712688950199e-07,4.207446395450436e-07,2.735892319822018e-07,-7.281789362219758e-16,8.531683437063047e-16
0.013578125000000002,1.4462737718880272,0.0,600.2028621112036,0.5927399355986106,1.4699885023180267e-15,0.0001230447532577169,7.145480024284808e-11,2.3899997017593397e-16,6.798941264326231e-08,4.13583244673583e-15,5.6111209080338836e-05,7.481001331250442e-06,0.6637307400885706,3.1892553160183377e-17,4.307351071468024e-07,1.1608160717112634e-10,1.7411938728057804e-13,1.000411463763828e-12,0.20151928632256574,0.13456140796924582,4.828082266737741e-07,5.590182244385533e-07,3.8791626972582424e-07,8.039257102136405e-16,1.1109692631110013e-15
0.013593750000000002,1.4466541406640363,0.0,600.2689951332895,0.592584086453156,2.732785598505075e-15,0.00013369490068995153,9.31109907712922e-11,7.083338671236956e-17,8.838168831090388e-08,6.916873231535741e-15,7.130442253166055e-05,9.956345463217861e-06,0.6637094606721892,1.7800752214735356e-17,6.065711783938144e-07,1.6882058969865403e-10,2.331310959243803e-13,1.7817123249373627e-12,0.20151117166504864,0.13456177885249462,6.419203550453077e-07,7.444413736801512e-07,5.515630123745144e-07,3.7569428447649506e-16,1.1446755549006675e-15
0.013609375000000002,1.447110736078594,0.0,600.3572580048498,0.5923971130345587,5.200504878846561e-15,0.00014532228647754416,1.2156116990128862e-10,1.9969550346004894e-16,1.1507556372326077e-07,1.2006515619831834e-14,9.074508368665579e-05,1.3273704301810566e-05,0.6636837244613147,4.364662326776994e-17,8.558616586483888e-07,2.459679218355871e-10,3.1369161175452707e-13,3.1895666704200357e-12,0.20150107555714702,0.13456225376117423,8.549587796344049e-07,9.930818100919975e-07,7.857970101606361e-07,5.930416944893719e-16,1.2615824788154824e-15
